Name,Age,GPA,Sports_Played,Credits_Completed,Major,Year
Azria Jones,19,0.47,3,30,Early College,Freshman
Sujay Garcia,14,2.58,3,27,Marketing,Sophomore
Azria Miller,16,3.48,3,30,Early College,Sophomore
Gavin Moore,15,2.73,0,27,Culinary,Junior
Avery Brown,19,0.56,0,25,Engineering,Senior
Dutch Johnson,18,0.64,2,47,Early Childhood Education,Senior
Sujay Thomas,16,0.55,3,14,Construction,Senior
Nate Hernandez,14,2.37,2,45,Business,Senior
Dutch Taylor,19,2.08,0,46,Engineering,Junior
Nate Taylor,17,1.05,2,60,Culinary,Senior
Dutch Hernandez,14,2.52,0,24,Construction,Senior
Dutch Jones,15,2.11,0,55,Business,Junior
Josh Jones,19,3.21,3,8,Early Childhood Education,Freshman
Nate Miller,16,1.15,3,39,Early Childhood Education,Freshman
Gavin Garcia,19,0.66,0,26,Criminal Justice,Junior
Avery Hernandez,15,4.21,0,33,Bio Med,Freshman
Josh Miller,16,1.22,3,24,Criminal Justice,Senior
Vihaan Miller,18,3.32,0,3,Engineering,Freshman
Nate Thomas,18,0.65,2,54,Engineering,Freshman
Alice Davis,16,2.05,3,38,Engineering,Junior
Manny Smith,17,4.25,3,47,Bio Med,Senior
Emm Hernandez,16,0.71,1,50,Computer Science,Freshman
Kelsey Martin,14,3.19,3,35,Construction,Senior
Alice Martinez,16,1.61,1,1,Computer Science,Junior
Gavin Moore,19,3.28,1,15,Early Childhood Education,Junior
Abby Jackson,19,2.55,0,52,Construction,Sophomore
Gavin Davis,14,2.21,3,57,Business,Senior
Dutch Moore,14,2.41,1,6,Criminal Justice,Senior
Azria Martin,16,1.41,1,20,Early College,Sophomore
Azria Smith,15,3.11,0,52,Computer Science,Freshman
Azria Jackson,16,4.31,1,7,Construction,Senior
Cal Martinez,16,1.07,0,17,Culinary,Senior
Abby Lopez,17,3.13,3,52,Criminal Justice,Senior
Alice Gonzalez,17,1.67,3,3,Marketing,Senior
Abby Johnson,19,0.7,0,7,Construction,Senior
Emm Lopez,18,4.39,1,43,Bio Med,Freshman
Avery Taylor,15,3.26,0,56,Marketing,Freshman
Azria Miller,15,1.58,3,8,Culinary,Sophomore
Emm Rodriguez,16,1.18,3,51,Criminal Justice,Junior
Manny Brown,17,4.35,2,28,Early Childhood Education,Freshman
Dutch Wilson,16,1.96,2,38,Criminal Justice,Sophomore
Manny Thomas,16,1.95,1,56,Engineering,Senior
Vihaan Miller,18,2.63,1,53,Criminal Justice,Senior
Dutch Williams,14,0.64,0,33,Criminal Justice,Freshman
Azria Brown,18,3.65,0,24,Construction,Freshman
Azria Thomas,14,0.56,3,24,Engineering,Junior
Josh Lopez,16,2.3,0,40,Business,Sophomore
Kelsey Gonzalez,16,0.45,2,15,Criminal Justice,Junior
Joe Hernandez,19,2.07,1,11,Marketing,Sophomore
Gavin Rodriguez,14,1.04,0,10,Construction,Freshman
Azria Taylor,17,3.59,1,20,Criminal Justice,Freshman
Nate Martin,19,2.64,0,40,Early Childhood Education,Senior
Kelsey Smith,17,1.4,2,51,Engineering,Senior
Manny Jones,19,3.48,0,7,Bio Med,Freshman
Dutch Smith,18,0.3,3,28,Bio Med,Sophomore
Gavin Martinez,19,1.92,1,16,Business,Sophomore
Azria Jones,18,0.92,1,21,Criminal Justice,Senior
Emm Martinez,18,2.65,0,21,Culinary,Sophomore
Sujay Davis,18,2.27,2,55,Computer Science,Sophomore
Sam Taylor,14,3.29,0,28,Culinary,Junior
Kelsey Jones,14,3.18,2,11,Business,Freshman
Azria Rodriguez,14,1.15,2,30,Marketing,Senior
Josh Jones,16,2.27,0,55,Early College,Junior
Sujay Martin,16,2.73,1,47,Computer Science,Senior
Sujay Taylor,18,3.99,3,51,Culinary,Senior
Manny Taylor,19,2.11,0,60,Bio Med,Freshman
Alice Brown,17,3.73,0,8,Culinary,Senior
Alice Wilson,19,4.21,2,12,Early College,Sophomore
Avery Garcia,18,2.78,0,40,Construction,Senior
Dutch Brown,16,2.73,3,34,Marketing,Senior
Nate Wilson,17,1.21,3,55,Business,Freshman
Cal Lopez,16,1.01,0,42,Criminal Justice,Junior
Josh Miller,19,3.53,0,36,Early College,Senior
Kelsey Martinez,15,4.13,0,47,Engineering,Freshman
Cal Jones,14,1.02,1,37,Computer Science,Junior
Avery Jackson,15,2.03,0,0,Construction,Sophomore
Gavin Anderson,19,3.68,2,44,Engineering,Senior
Josh Jones,14,2.5,1,40,Business,Freshman
Gavin Thomas,17,2.51,0,53,Bio Med,Sophomore
Manny Thomas,18,2.42,1,12,Criminal Justice,Freshman
Dutch Jones,18,1.21,1,12,Culinary,Junior
Abby Anderson,18,2.12,3,56,Computer Science,Sophomore
Manny Johnson,17,3.5,3,6,Marketing,Junior
Dutch Anderson,19,0.83,0,0,Computer Science,Freshman
Sam Lopez,17,1.96,1,37,Bio Med,Sophomore
Nate Thomas,14,2.71,3,10,Construction,Junior
Josh Thomas,15,3.94,3,56,Computer Science,Freshman
Alice Wilson,15,0.94,3,13,Early College,Junior
Avery Gonzalez,16,0.32,1,25,Early Childhood Education,Freshman
Cal Garcia,19,3.24,3,58,Business,Freshman
Azria Garcia,15,2.68,0,19,Engineering,Sophomore
Sam Lopez,14,0.64,0,38,Computer Science,Sophomore
Josh Anderson,17,3.87,0,57,Early College,Freshman
Emm Davis,19,3.32,2,53,Computer Science,Sophomore
Azria Rodriguez,18,4.16,1,8,Culinary,Junior
Alice Brown,18,3.89,3,57,Culinary,Sophomore
Emm Smith,16,1.02,1,4,Early College,Junior
Dutch Anderson,15,0.86,1,41,Bio Med,Sophomore
Sujay Martin,14,2.75,3,29,Early College,Freshman
Manny Jackson,18,1.04,2,51,Engineering,Senior
Nate Williams,18,1.56,0,42,Construction,Junior
Sujay Hernandez,19,3.8,1,47,Early Childhood Education,Freshman
Gavin Thomas,15,0.63,2,17,Construction,Junior
Joe Johnson,17,2.66,1,26,Early College,Senior
Vihaan Davis,19,3.68,2,33,Bio Med,Sophomore
Azria Taylor,15,3.41,0,7,Computer Science,Senior
Vihaan Williams,18,2.82,2,11,Business,Senior
Avery Miller,16,1.94,0,26,Computer Science,Sophomore
Joe Smith,19,4.38,2,43,Culinary,Junior
Nate Thomas,19,3.92,1,29,Early Childhood Education,Freshman
Kelsey Brown,14,2.29,3,26,Marketing,Junior
Dutch Martin,14,3.56,1,53,Early College,Sophomore
Manny Lopez,19,3.27,3,50,Business,Junior
Manny Williams,14,3.25,0,36,Criminal Justice,Junior
Dutch Miller,14,2.16,2,48,Marketing,Senior
Azria Jackson,19,2.88,3,37,Criminal Justice,Freshman
Joe Garcia,16,0.3,0,6,Bio Med,Freshman
Azria Lopez,16,3.53,2,5,Marketing,Senior
Cal Martinez,15,2.75,1,47,Construction,Sophomore
Manny Johnson,17,4.14,0,10,Engineering,Senior
Nate Davis,16,4.11,2,17,Bio Med,Senior
Abby Anderson,17,1.33,1,57,Bio Med,Sophomore
Azria Jackson,17,1.14,2,32,Marketing,Junior
Emm Brown,16,2.41,3,21,Computer Science,Junior
Avery Jones,16,1.9,1,43,Culinary,Junior
Gavin Moore,19,1.93,3,51,Bio Med,Sophomore
Alice Hernandez,16,0.31,1,0,Early College,Freshman
Kelsey Anderson,15,2.74,0,49,Construction,Junior
Avery Martinez,14,1.31,0,36,Early Childhood Education,Junior
Sujay Gonzalez,15,4.16,3,0,Engineering,Junior
Josh Miller,16,3.16,2,35,Construction,Freshman
Alice Jackson,19,2.06,3,14,Bio Med,Junior
Gavin Davis,14,1.17,1,49,Business,Freshman
Cal Taylor,16,1.17,0,33,Early Childhood Education,Senior
Dutch Brown,18,3.74,0,50,Computer Science,Senior
Sam Taylor,17,2.4,1,12,Business,Junior
Sam Rodriguez,15,2.94,0,55,Business,Sophomore
Alice Anderson,18,2.36,2,38,Marketing,Sophomore
Gavin Jones,18,1.0,3,20,Engineering,Junior
Kelsey Moore,14,0.66,1,20,Culinary,Freshman
Manny Martinez,19,2.53,3,34,Criminal Justice,Sophomore
Manny Garcia,16,2.35,3,21,Criminal Justice,Senior
Josh Taylor,17,3.77,1,46,Marketing,Sophomore
Abby Garcia,17,1.78,2,30,Computer Science,Freshman
Abby Lopez,14,3.72,0,28,Early Childhood Education,Junior
Cal Johnson,15,3.55,2,7,Bio Med,Senior
Azria Wilson,17,3.87,3,30,Early College,Freshman
Emm Jackson,14,2.72,2,6,Early College,Freshman
Sam Smith,17,3.6,1,25,Business,Senior
Kelsey Rodriguez,18,2.79,1,46,Marketing,Freshman
Josh Williams,19,3.45,0,10,Early Childhood Education,Junior
Abby Brown,17,1.47,3,53,Criminal Justice,Sophomore
Gavin Wilson,15,3.32,0,42,Construction,Freshman
Abby Anderson,19,4.3,3,24,Culinary,Junior
Vihaan Brown,19,2.19,0,59,Criminal Justice,Junior
Cal Hernandez,17,2.4,0,17,Bio Med,Senior
Alice Johnson,17,2.45,2,25,Computer Science,Senior
Abby Williams,18,3.18,1,4,Engineering,Senior
Azria Williams,15,1.67,1,56,Early Childhood Education,Sophomore
Abby Jackson,19,3.76,2,25,Computer Science,Sophomore
Manny Martin,17,3.29,2,59,Computer Science,Junior
Gavin Lopez,14,2.01,3,44,Early Childhood Education,Senior
Nate Martin,19,2.68,2,38,Culinary,Senior
Gavin Miller,18,1.11,1,54,Bio Med,Junior
Sam Williams,19,4.1,3,35,Culinary,Junior
Dutch Hernandez,18,0.31,1,21,Business,Junior
Manny Williams,19,1.22,1,25,Marketing,Sophomore
Kelsey Moore,19,4.12,2,39,Early College,Sophomore
Sam Johnson,15,2.57,2,25,Computer Science,Junior
Cal Wilson,15,3.1,2,25,Business,Freshman
Azria Lopez,19,1.57,1,47,Construction,Junior
Sujay Garcia,16,1.01,1,10,Early Childhood Education,Junior
Cal Martinez,19,0.62,0,30,Engineering,Senior
Sujay Smith,16,2.9,0,29,Criminal Justice,Freshman
Nate Williams,14,2.06,2,22,Construction,Senior
Avery Johnson,19,3.99,3,13,Construction,Junior
Sujay Garcia,14,2.17,1,48,Marketing,Senior
Dutch Anderson,17,3.27,2,5,Construction,Junior
Sam Jones,17,3.58,3,18,Early College,Senior
Nate Moore,16,3.76,0,37,Business,Junior
Avery Jackson,19,3.87,1,30,Culinary,Senior
Sujay Rodriguez,15,1.61,1,20,Business,Senior
Avery Moore,19,2.18,2,38,Construction,Junior
Sam Davis,15,1.58,3,31,Bio Med,Freshman
Cal Gonzalez,17,3.99,3,11,Bio Med,Junior
Avery Rodriguez,15,2.08,3,43,Criminal Justice,Senior
Azria Anderson,17,2.25,0,28,Criminal Justice,Senior
Gavin Davis,19,2.16,2,35,Engineering,Sophomore
Joe Smith,14,2.44,3,14,Criminal Justice,Junior
Cal Thomas,17,0.54,0,50,Criminal Justice,Sophomore
Josh Thomas,18,3.12,1,13,Marketing,Freshman
Manny Miller,14,2.47,0,41,Early Childhood Education,Freshman
Azria Davis,19,3.16,1,36,Bio Med,Freshman
Josh Brown,16,2.55,1,55,Early Childhood Education,Freshman
Nate Moore,14,2.68,0,44,Criminal Justice,Senior
Dutch Garcia,19,0.32,2,38,Culinary,Junior
Emm Martin,18,3.79,0,43,Criminal Justice,Freshman
Josh Miller,18,1.48,2,39,Culinary,Junior
Sam Brown,18,1.19,1,30,Marketing,Senior
Nate Rodriguez,14,2.04,3,28,Business,Senior
Emm Hernandez,18,1.83,2,37,Early Childhood Education,Freshman
Kelsey Davis,18,2.41,0,55,Criminal Justice,Senior
Dutch Jones,16,3.52,3,19,Early Childhood Education,Senior
Kelsey Rodriguez,18,2.22,3,39,Early College,Junior
Emm Wilson,18,3.92,0,22,Bio Med,Sophomore
Abby Anderson,18,1.99,2,17,Marketing,Junior
Emm Martinez,16,0.8,0,20,Culinary,Sophomore
Vihaan Jones,14,4.19,2,10,Business,Sophomore
Gavin Jones,19,2.73,2,40,Construction,Freshman
Abby Rodriguez,18,0.74,1,24,Criminal Justice,Senior
Nate Martin,19,2.6,1,2,Marketing,Freshman
Joe Anderson,14,4.01,3,13,Early College,Senior
Kelsey Martin,14,1.18,0,19,Criminal Justice,Junior
Josh Jackson,19,3.3,2,10,Marketing,Freshman
Josh Gonzalez,19,3.13,3,54,Culinary,Junior
Vihaan Anderson,19,4.26,3,57,Construction,Freshman
Vihaan Thomas,16,2.26,1,23,Culinary,Junior
Sam Lopez,19,3.98,1,33,Engineering,Freshman
Josh Garcia,16,0.98,3,50,Computer Science,Senior
Sujay Wilson,14,2.58,2,50,Computer Science,Freshman
Josh Wilson,16,1.01,2,17,Computer Science,Sophomore
Cal Thomas,18,3.92,0,18,Early Childhood Education,Sophomore
Joe Anderson,14,3.97,1,11,Early College,Freshman
Emm Thomas,15,0.68,3,40,Early College,Junior
Dutch Moore,19,3.53,0,36,Marketing,Freshman
Sam Davis,15,4.21,0,55,Early Childhood Education,Senior
Azria Rodriguez,18,3.14,3,30,Early Childhood Education,Sophomore
Joe Williams,16,4.25,2,4,Marketing,Senior
Azria Moore,19,1.09,2,35,Business,Junior
Vihaan Rodriguez,16,2.0,3,36,Construction,Freshman
Abby Jones,18,3.82,2,60,Early College,Sophomore
Sam Lopez,19,1.7,0,55,Marketing,Freshman
Cal Williams,15,0.51,2,11,Construction,Freshman
Azria Martin,18,1.41,3,30,Early College,Sophomore
Manny Jones,17,3.69,3,10,Criminal Justice,Sophomore
Abby Wilson,18,2.14,3,2,Culinary,Sophomore
Dutch Martin,14,4.39,1,32,Business,Sophomore
Gavin Jones,19,2.8,3,28,Early Childhood Education,Sophomore
Abby Davis,15,2.96,3,33,Early College,Junior
Kelsey Hernandez,14,1.82,2,11,Early College,Junior
Alice Miller,19,0.87,1,37,Engineering,Freshman
Avery Johnson,19,2.08,1,47,Criminal Justice,Freshman
Joe Thomas,19,0.58,2,46,Culinary,Senior
Gavin Garcia,15,4.34,3,16,Culinary,Senior
Emm Davis,18,2.84,2,54,Early College,Freshman
Emm Moore,17,3.67,0,21,Criminal Justice,Senior
Abby Martin,17,0.39,3,35,Marketing,Senior
Azria Thomas,17,3.54,1,15,Early College,Sophomore
Sujay Williams,19,2.58,2,12,Business,Junior
Sam Brown,14,0.61,0,42,Construction,Senior
Sam Martinez,17,3.95,3,35,Culinary,Senior
Sam Garcia,17,3.85,1,32,Marketing,Junior
Sam Davis,15,1.27,1,19,Culinary,Sophomore
Kelsey Gonzalez,17,2.79,2,4,Engineering,Freshman
Josh Rodriguez,17,0.44,0,7,Construction,Sophomore
Avery Lopez,19,0.62,0,3,Business,Junior
Sujay Jones,17,0.99,1,58,Business,Freshman
Sam Rodriguez,15,2.36,1,4,Computer Science,Senior
Kelsey Rodriguez,15,2.28,2,40,Criminal Justice,Senior
Sujay Johnson,16,1.72,2,33,Computer Science,Junior
Joe Gonzalez,18,2.69,0,5,Business,Sophomore
Vihaan Davis,19,2.64,3,53,Marketing,Freshman
Kelsey Lopez,18,2.19,2,36,Construction,Junior
Dutch Rodriguez,16,3.85,0,59,Marketing,Senior
Kelsey Lopez,15,1.66,1,55,Business,Sophomore
Emm Garcia,19,1.11,3,47,Marketing,Sophomore
Gavin Smith,15,3.13,0,0,Construction,Senior
Avery Martin,15,3.38,2,21,Culinary,Junior
Alice Brown,18,2.05,2,0,Early College,Freshman
Dutch Davis,19,0.82,1,24,Construction,Junior
Gavin Brown,19,2.75,2,46,Culinary,Freshman
Nate Martin,16,2.75,0,16,Business,Junior
Kelsey Martin,18,1.63,3,46,Construction,Freshman
Gavin Miller,18,1.5,1,12,Criminal Justice,Sophomore
Emm Brown,16,0.53,1,11,Bio Med,Senior
Avery Smith,17,0.45,2,18,Bio Med,Sophomore
Vihaan Davis,19,1.1,1,21,Culinary,Junior
Azria Miller,14,3.32,0,15,Culinary,Sophomore
Gavin Rodriguez,18,2.71,0,38,Bio Med,Senior
Cal Davis,16,2.94,2,41,Engineering,Sophomore
Abby Taylor,14,1.62,2,6,Early Childhood Education,Sophomore
Josh Martinez,14,3.87,1,46,Criminal Justice,Sophomore
Joe Lopez,16,3.47,1,37,Early Childhood Education,Sophomore
Manny Williams,19,3.41,3,43,Early College,Freshman
Sujay Martin,16,0.76,2,52,Early College,Sophomore
Dutch Gonzalez,19,2.01,3,39,Business,Sophomore
Dutch Martin,17,1.39,2,10,Criminal Justice,Sophomore
Josh Johnson,18,4.2,2,34,Criminal Justice,Freshman
Sam Anderson,15,3.35,3,34,Criminal Justice,Senior
Kelsey Williams,19,3.82,2,40,Construction,Freshman
Sam Lopez,15,4.27,1,54,Construction,Junior
Alice Martin,16,3.86,0,50,Early Childhood Education,Junior
Abby Smith,18,3.74,1,15,Early College,Junior
Abby Garcia,19,1.96,2,1,Marketing,Senior
Kelsey Johnson,18,0.3,3,18,Engineering,Senior
Avery Thomas,16,1.24,2,58,Business,Freshman
Sujay Wilson,14,4.29,2,50,Computer Science,Sophomore
Manny Moore,14,1.96,2,22,Culinary,Sophomore
Manny Moore,17,3.87,3,60,Computer Science,Freshman
Manny Davis,19,2.94,2,5,Business,Freshman
Azria Garcia,14,2.79,2,41,Business,Junior
Joe Garcia,15,3.42,0,53,Culinary,Senior
Alice Williams,19,2.46,3,54,Culinary,Senior
Abby Wilson,15,1.47,3,59,Business,Junior
Gavin Rodriguez,16,4.33,2,29,Early Childhood Education,Junior
Sujay Brown,19,2.36,3,6,Engineering,Junior
Josh Gonzalez,18,2.83,0,49,Engineering,Senior
Gavin Hernandez,17,4.1,1,44,Criminal Justice,Sophomore
Cal Anderson,18,0.62,0,17,Computer Science,Sophomore
Josh Martinez,18,1.99,0,47,Computer Science,Freshman
Azria Wilson,14,2.68,3,15,Culinary,Freshman
Joe Davis,14,1.7,1,1,Early Childhood Education,Junior
Gavin Johnson,15,4.0,3,16,Culinary,Junior
Abby Jackson,19,2.59,2,20,Early College,Junior
Gavin Martin,14,3.8,0,44,Construction,Junior
Abby Gonzalez,16,2.63,3,10,Computer Science,Senior
Dutch Jones,14,1.19,0,55,Computer Science,Junior
Sujay Johnson,15,3.3,2,36,Engineering,Freshman
Vihaan Brown,17,2.31,2,13,Bio Med,Freshman
Azria Williams,17,2.65,3,31,Construction,Senior
Gavin Gonzalez,19,4.2,2,48,Engineering,Sophomore
Kelsey Hernandez,15,0.37,1,4,Construction,Freshman
Manny Lopez,16,3.09,2,28,Criminal Justice,Junior
Sujay Davis,17,2.84,2,38,Early Childhood Education,Senior
Gavin Smith,17,3.43,2,9,Computer Science,Junior
Manny Williams,18,2.95,0,1,Business,Senior
Emm Smith,15,2.59,0,17,Bio Med,Sophomore
Avery Martinez,15,3.96,2,15,Computer Science,Sophomore
Joe Anderson,16,1.08,2,42,Business,Freshman
Joe Thomas,18,4.15,3,20,Marketing,Junior
Kelsey Moore,19,2.51,2,20,Culinary,Junior
Sujay Davis,16,1.83,3,8,Business,Freshman
Josh Brown,14,1.87,0,24,Business,Junior
Nate Williams,18,2.51,2,53,Construction,Freshman
Sam Williams,14,4.28,2,49,Early College,Junior
Alice Davis,15,3.45,0,47,Bio Med,Sophomore
Gavin Brown,16,3.95,0,44,Early College,Senior
Sam Jackson,18,3.01,2,40,Business,Senior
Sujay Davis,19,2.83,3,31,Criminal Justice,Sophomore
Azria Thomas,16,1.5,1,30,Construction,Senior
Emm Anderson,16,0.95,3,44,Early College,Sophomore
Josh Anderson,14,0.92,3,42,Computer Science,Freshman
Dutch Rodriguez,15,4.25,0,6,Early Childhood Education,Sophomore
Azria Lopez,19,3.08,1,52,Bio Med,Junior
Dutch Moore,17,0.68,3,59,Engineering,Senior
Azria Thomas,16,3.1,2,3,Culinary,Sophomore
Vihaan Jackson,16,2.65,2,54,Culinary,Freshman
Manny Thomas,17,0.82,1,60,Construction,Junior
Sam Anderson,19,3.69,0,33,Business,Senior
Abby Taylor,19,0.46,0,59,Criminal Justice,Freshman
Cal Jones,15,0.59,0,5,Early Childhood Education,Junior
Gavin Taylor,18,3.36,3,41,Criminal Justice,Freshman
Cal Johnson,19,2.51,0,6,Business,Sophomore
Dutch Brown,14,2.61,1,2,Computer Science,Freshman
Sam Garcia,14,1.69,0,14,Business,Senior
Alice Smith,16,4.39,0,21,Marketing,Senior
Kelsey Jones,14,2.55,0,60,Marketing,Sophomore
Alice Anderson,15,3.97,3,30,Computer Science,Junior
Gavin Smith,17,1.94,1,3,Early Childhood Education,Sophomore
Emm Brown,15,4.31,2,55,Culinary,Junior
Josh Rodriguez,16,0.66,3,48,Engineering,Sophomore
Avery Smith,14,2.21,3,38,Bio Med,Junior
Joe Garcia,15,3.37,1,0,Early College,Senior
Joe Anderson,15,1.71,3,54,Bio Med,Freshman
Joe Miller,14,2.79,2,3,Construction,Senior
Josh Rodriguez,14,2.93,2,50,Marketing,Senior
Alice Brown,19,3.33,0,5,Early Childhood Education,Senior
Joe Taylor,14,1.74,1,54,Engineering,Senior
Joe Anderson,17,4.27,1,42,Culinary,Junior
Abby Wilson,15,2.84,3,20,Early Childhood Education,Sophomore
Abby Williams,18,3.31,2,56,Computer Science,Sophomore
Emm Gonzalez,17,3.95,0,2,Bio Med,Sophomore
Josh Jackson,18,3.81,0,56,Criminal Justice,Junior
Avery Taylor,18,4.21,2,25,Culinary,Freshman
Vihaan Lopez,14,3.34,0,32,Bio Med,Senior
Cal Taylor,14,1.82,0,12,Bio Med,Sophomore
Joe Lopez,17,2.97,1,55,Business,Freshman
Gavin Lopez,19,1.68,1,44,Early College,Junior
Azria Moore,15,1.1,0,56,Culinary,Senior
Vihaan Moore,15,0.98,0,26,Culinary,Senior
Emm Smith,16,2.44,1,59,Computer Science,Freshman
Sujay Anderson,14,1.08,1,8,Engineering,Sophomore
Kelsey Garcia,18,0.75,3,53,Computer Science,Freshman
Azria Smith,15,1.32,0,36,Early Childhood Education,Freshman
Abby Jackson,15,1.23,2,12,Engineering,Junior
Abby Smith,14,4.22,2,38,Early College,Sophomore
Dutch Williams,15,3.97,0,17,Marketing,Junior
Emm Garcia,18,3.22,2,33,Construction,Sophomore
Josh Thomas,15,3.31,2,13,Criminal Justice,Senior
Joe Gonzalez,19,3.58,2,41,Early Childhood Education,Sophomore
Sujay Williams,19,2.09,3,42,Bio Med,Senior
Emm Thomas,19,1.97,3,39,Early Childhood Education,Junior
Avery Anderson,17,2.47,2,3,Criminal Justice,Junior
Abby Jones,14,3.34,2,39,Early Childhood Education,Senior
Vihaan Brown,19,0.44,1,60,Early Childhood Education,Senior
Cal Garcia,18,1.19,3,40,Engineering,Freshman
Gavin Taylor,14,2.09,1,51,Marketing,Senior
Emm Jones,17,4.18,1,7,Early College,Junior
Abby Gonzalez,17,1.3,3,28,Culinary,Freshman
Avery Anderson,14,0.6,0,26,Culinary,Sophomore
Nate Gonzalez,18,4.2,2,12,Early College,Senior
Nate Jones,18,1.42,3,56,Early College,Junior
Avery Rodriguez,19,2.51,1,1,Early College,Junior
Cal Wilson,14,0.43,3,35,Bio Med,Senior
Manny Davis,18,1.45,0,16,Construction,Junior
Kelsey Martin,18,3.0,2,46,Marketing,Junior
Emm Jackson,19,3.4,2,8,Construction,Freshman
Dutch Rodriguez,14,0.83,2,19,Business,Junior
Sujay Taylor,15,0.31,0,46,Bio Med,Junior
Sam Martin,15,0.55,1,6,Engineering,Senior
Vihaan Taylor,14,1.39,2,0,Early College,Sophomore
Sujay Johnson,16,0.85,0,23,Early Childhood Education,Freshman
Cal Hernandez,16,3.56,2,31,Marketing,Freshman
Avery Johnson,18,2.25,3,28,Culinary,Sophomore
Sujay Martin,16,1.46,1,38,Computer Science,Freshman
Sujay Taylor,16,1.5,2,24,Bio Med,Junior
Alice Lopez,19,3.49,0,12,Computer Science,Sophomore
Kelsey Lopez,14,3.83,1,49,Early Childhood Education,Junior
